English,Indonesia
Run!,Lari!
Who?,Siapa?
Wow!,Wow!
Help!,Tolong!
Jump!,Lompat!
Jump.,Loncat.
Stop!,Berhenti!
Wait!,Tunggu!
Wait.,Tunggu.
Hurry!,Cepatlah!
Hurry!,Cepat!
Hurry!,Buruan!
I see.,Begitu rupanya.
Smile.,Senyum.
Attack!,Serang!
Cheers!,Bersulang!
Freeze!,Jangan bergerak!
Get up.,Bangunlah.
Got it!,Aku mengerti!
Got it?,Mengerti?
Listen.,Dengar.
No way!,Tak bisa!
No way!,Tidak mungkin!
Really?,Benarkah?
Really?,Beneran?
Thanks!,Makasih!
Thanks.,Terima kasih.
Thanks.,Makasih.
We try.,Kami mencoba.
Why me?,Kenapa harus saya?
Awesome!,Mengagumkan!
Come on!,Ayo!
Get out!,Keluar!
Goodbye!,Sampai jumpa!
Goodbye.,Sampai jumpa.
Hold it!,Tahan!
I agree.,Aku setuju.
I'm sad.,Saya sedih.
It's OK.,Tidak apa-apa.
It's me!,Ini aku!
It's me.,Ini aku.
"Me, too.",Aku juga.
Perfect!,Sempurna!
See you!,Sampai jumpa!
Show me.,Perlihatkan padaku.
Show me.,Perlihatin.
Shut up!,Diam!
Shut up!,Diamlah!
So long.,Sampai jumpa.
Tom won.,Tom menang.
Wake up!,Bangun!
Wake up!,Bangunlah!
Wake up.,Bangunlah.
Welcome.,Selamat datang.
Be still.,Jangan bergerak.
Good job!,Kerja yang bagus!
Good job!,Kerja bagus!
Grab Tom.,Tangkap Tom.
"Hi, guys.","Hai, kawan-kawan."
I failed.,Aku gagal.
I get it.,Aku mengerti.
I got it.,Aku mengerti.
I refuse.,Aku menolak.
I stayed.,Aku tetap tinggal.
I'm okay.,Aku baik-baik saja.
It's odd.,Itu aneh.
It's odd.,Ini aneh.
Leave me.,Tinggalkan aku.
Look out!,Awas!
Sit down!,Duduklah!
Sit down.,Duduklah.
Stand up!,Berdiri!
Stand up.,Berdirilah.
Terrific!,Hebat!
They won.,Mereka menang.
Trust me.,Percaya padaku.
We tried.,Kami sudah mencoba.
What for?,Untuk apa?
Who's he?,Dia siapa?
Be seated.,Duduklah.
Bless you.,Terberkatilah dirimu.
Calm down.,Tenanglah.
Chill out.,Tenanglah.
Come here.,Kemari.
Come here.,Kemarilah.
Come here.,Datanglah ke sini.
Come soon.,Datanglah segera.
Cool down.,Tenanglah.
Dogs bark.,Anjing menggonggong.
Don't cry.,Jangan menangis.
Don't die.,Jangan mati.
Fantastic!,Fantastis!
Forget it.,Lupakan.
He's a DJ.,Dia adalah seorang DJ.
I can ski.,Saya bisa bermain ski.
I hit Tom.,Aku memukul Tom.
I mean it!,Aku serius!
I mean it.,Aku serius.
I promise.,Aku janji.
I'm a man.,Aku laki-laki.
I'm bored.,Saya bosan.
I'm bored.,Aku bosan.
I'm clean.,Aku bersih.
I'm drunk.,Aku mabuk.
I'm first.,Aku yang pertama.
I'm naked.,Aku telanjang.
I'm tired.,Aku lelah.
It's cold.,Dingin.
It's food.,Ini adalah makanan.
Let's try!,Mari kita coba!
Let's try.,Mari kita coba.
Move over.,Meminggirlah.
Move over.,Minggir!
Of course!,Tentu saja!
Pipe down!,Harap tenang!
See below.,Lihat di bawah ini.
Seriously?,Masa?
Seriously?,Serius?
Seriously?,Beneran?
Stay home.,Tinggallah di rumah!
Stop that!,Hentikan itu!
Stop that.,Hentikan itu.
Thank you.,Terima kasih.
Then what?,Terus kenapa?
Tom cried.,Tom menangis.
Try again.,Coba lagi.
Turn left.,Belok kiri.
Watch out!,Awas!
Well done!,Kerja yang bagus!
Well done!,Kerja bagus!
What's up?,Ada apa?
Who is he?,Dia siapa?
Who's Tom?,Tom itu siapa?
Wonderful!,Luar biasa!
Are you OK?,Kamu tidak apa-apa?
Be careful!,Hati-hati!
Be careful.,Hati-hati.
Bring wine.,Bawalah anggur.
Cut it out!,Sudah hentikan!
Cut it out.,Sudah hentikan.
Don't move!,Jangan bergerak!
